typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,isAltQtyEstimated,netWgt,isNetWgtEstimated,isGrossWgtEstimated,cifvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20200101,2020,52,2020,800,UGA,Uganda,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,794.0,False,8,False,794.0,False,False,36924675.0,36924675.0,0,True,False
C,A,20200101,2020,52,2020,800,UGA,Uganda,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,3200,Road,8,kg,1610.0,False,8,False,1610.0,False,False,94200914.0,94200914.0,0,True,False
C,A,20210101,2021,52,2021,56,BEL,Belgium,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,23.79,False,8,False,23.79,False,False,1318752.784,1318752.784,0,True,False
C,A,20210101,2021,52,2021,724,ESP,Spain,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.199,False,15,False,1.199,False,False,55271.205,55271.205,0,False,True
C,A,20210101,2021,52,2021,724,ESP,Spain,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.199,False,15,False,1.199,False,False,55271.205,55271.205,0,False,True
C,A,20210101,2021,52,2021,724,ESP,Spain,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,1.199,False,15,False,1.199,False,False,55271.205,55271.205,0,False,True
C,A,20210101,2021,52,2021,724,ESP,Spain,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,1.199,False,15,False,1.199,False,False,55271.205,55271.205,0,False,True
C,A,20210101,2021,52,2021,724,ESP,Spain,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C01,Clearance for home use,0,0,TOTAL MOT,8,kg,1.199,False,15,False,1.199,False,False,55271.205,55271.205,0,False,True
C,A,20210101,2021,52,2021,724,ESP,Spain,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C01,Clearance for home use,0,0,TOTAL MOT,8,kg,1.199,False,15,False,1.199,False,False,55271.205,55271.205,0,False,True
C,A,20210101,2021,52,2021,724,ESP,Spain,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C01,Clearance for home use,0,1000,Air,8,kg,1.199,False,15,False,1.199,False,False,55271.205,55271.205,0,False,True
C,A,20210101,2021,52,2021,724,ESP,Spain,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C01,Clearance for home use,0,1000,Air,8,kg,1.199,False,15,False,1.199,False,False,55271.205,55271.205,0,False,True
C,A,20180101,2018,52,2018,251,FRA,France,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,2.651,True,-1,False,2.651,True,False,105126.684,105126.684,6,False,True
C,A,20180101,2018,52,2018,442,LUX,Luxembourg,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8.882,False,15,False,8.882,False,False,195573.718,195573.718,0,False,True
C,A,20180101,2018,52,2018,442,LUX,Luxembourg,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8.882,False,15,False,8.882,False,False,195573.718,195573.718,0,False,True
C,A,20180101,2018,52,2018,442,LUX,Luxembourg,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,8.882,False,15,False,8.882,False,False,195573.718,195573.718,0,False,True
C,A,20180101,2018,52,2018,442,LUX,Luxembourg,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,8.882,False,15,False,8.882,False,False,195573.718,195573.718,0,False,True
C,A,20180101,2018,52,2018,442,LUX,Luxembourg,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C01,Clearance for home use,0,0,TOTAL MOT,8,kg,8.882,False,15,False,8.882,False,False,195573.718,195573.718,0,False,True
C,A,20180101,2018,52,2018,442,LUX,Luxembourg,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C01,Clearance for home use,0,0,TOTAL MOT,8,kg,8.882,False,15,False,8.882,False,False,195573.718,195573.718,0,False,True
C,A,20180101,2018,52,2018,442,LUX,Luxembourg,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C01,Clearance for home use,0,1000,Air,8,kg,8.882,False,15,False,8.882,False,False,195573.718,195573.718,0,True,False
C,A,20180101,2018,52,2018,442,LUX,Luxembourg,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C01,Clearance for home use,0,1000,Air,8,kg,8.882,False,15,False,8.882,False,False,195573.718,195573.718,0,True,False
C,A,20170101,2017,52,2017,56,BEL,Belgium,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.911,False,15,False,1.92,False,False,49768.871,49768.871,0,True,False
C,A,20170101,2017,52,2017,380,ITA,Italy,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.01,False,15,False,1.0,False,False,39117.464,39117.464,0,True,False
C,A,20170101,2017,52,2017,380,ITA,Italy,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.01,False,15,False,1.0,False,False,39117.464,39117.464,0,True,False
C,A,20180101,2018,52,2018,251,FRA,France,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2.651,True,-1,False,2.651,True,False,105126.684,105126.684,6,False,True
C,A,20210101,2021,52,2021,380,ITA,Italy,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,28.943,False,15,False,29.0,False,False,1516456.402,1516456.402,0,True,False
C,A,20210101,2021,52,2021,699,IND,India,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10670.0,False,8,False,10670.0,False,False,489401366.703,489401366.703,0,True,False
C,A,20210101,2021,52,2021,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,67857.0,False,8,False,67857.0,False,False,3378190149.853,3378190149.853,0,False,True
C,A,20210101,2021,52,2021,784,ARE,United Arab Emirates,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,301.78,False,8,False,301.78,False,False,17399235.729,17399235.729,0,True,False
C,A,20210101,2021,52,2021,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,67857.0,False,8,False,67857.0,False,False,3378190149.853,3378190149.853,0,False,True
C,A,20210101,2021,52,2021,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C01,Clearance for home use,0,0,TOTAL MOT,8,kg,67857.0,False,8,False,67857.0,False,False,3378190149.853,3378190149.853,0,False,True
C,A,20210101,2021,52,2021,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C01,Clearance for home use,0,1000,Air,8,kg,67857.0,False,8,False,67857.0,False,False,3378190149.853,3378190149.853,0,True,False
C,A,20190101,2019,52,2019,124,CAN,Canada,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,3.501,False,15,False,3.501,False,False,0.0,40580.952,0,False,True
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,3.501,False,15,False,3.501,False,False,0.0,40580.952,0,False,True
C,A,20190101,2019,52,2019,251,FRA,France,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3.0,False,8,False,3.0,False,False,39415.885,39415.885,0,False,True
C,A,20190101,2019,52,2019,251,FRA,France,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,3.0,False,8,False,3.0,False,False,39415.885,39415.885,0,False,True
C,A,20190101,2019,52,2019,380,ITA,Italy,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.867,False,15,False,1.0,False,False,36484.417,36484.417,0,True,False
C,A,20190101,2019,52,2019,380,ITA,Italy,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.867,False,15,False,1.0,False,False,36484.417,36484.417,0,True,False
C,A,20190101,2019,52,2019,699,IND,India,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,17839.0,False,-1,False,17839.0,False,False,633432675.715,633432675.715,0,True,False
C,A,20190101,2019,52,2019,757,CHE,Switzerland,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,43237.0,False,8,False,43237.0,False,False,1717926854.632,1717926854.632,0,False,True
C,A,20190101,2019,52,2019,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,43237.0,False,8,False,43237.0,False,False,1717926854.632,1717926854.632,0,False,True
C,A,20190101,2019,52,2019,784,ARE,United Arab Emirates,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,136.26,False,8,False,136.26,False,False,5287948.203,5287948.203,0,True,False
C,A,20190101,2019,52,2019,757,CHE,Switzerland,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,43237.0,False,8,False,43237.0,False,False,1717926854.632,1717926854.632,0,False,True
C,A,20190101,2019,52,2019,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,43237.0,False,8,False,43237.0,False,False,1717926854.632,1717926854.632,0,False,True
C,A,20190101,2019,52,2019,757,CHE,Switzerland,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C01,Clearance for home use,0,0,TOTAL MOT,8,kg,43237.0,False,8,False,43237.0,False,False,1717926854.632,1717926854.632,0,False,True
C,A,20190101,2019,52,2019,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C01,Clearance for home use,0,0,TOTAL MOT,8,kg,43237.0,False,8,False,43237.0,False,False,1717926854.632,1717926854.632,0,False,True
C,A,20190101,2019,52,2019,757,CHE,Switzerland,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C01,Clearance for home use,0,1000,Air,8,kg,43237.0,False,8,False,43237.0,False,False,1717926854.632,1717926854.632,0,True,False
C,A,20190101,2019,52,2019,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C01,Clearance for home use,0,1000,Air,8,kg,43237.0,False,8,False,43237.0,False,False,1717926854.632,1717926854.632,0,True,False
C,A,20190101,2019,52,2019,792,TUR,Türkiye,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4.73,False,15,False,5.0,False,False,192800.0,192800.0,0,False,True
C,A,20190101,2019,52,2019,792,TUR,Türkiye,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,4.73,False,15,False,5.0,False,False,192800.0,192800.0,0,False,True
C,A,20190101,2019,52,2019,792,TUR,Türkiye,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C01,Clearance for home use,0,0,TOTAL MOT,8,kg,2.725,False,15,False,3.0,False,False,103978.0,103978.0,0,False,True
C,A,20190101,2019,52,2019,792,TUR,Türkiye,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C01,Clearance for home use,0,1000,Air,8,kg,2.725,False,15,False,3.0,False,False,103978.0,103978.0,0,False,True
C,A,20190101,2019,52,2019,792,TUR,Türkiye,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C06,Inward processing,0,0,TOTAL MOT,8,kg,2.005,False,15,False,2.0,False,False,88822.0,88822.0,0,False,True
C,A,20190101,2019,52,2019,792,TUR,Türkiye,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C06,Inward processing,0,1000,Air,8,kg,2.005,False,15,False,2.0,False,False,88822.0,88822.0,0,False,True
C,A,20200101,2020,52,2020,56,BEL,Belgium,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,64.63,False,8,False,64.63,False,False,3202712.25,3202712.25,0,True,False
C,A,20200101,2020,52,2020,699,IND,India,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6977.0,False,8,False,6977.0,False,False,311374834.232,311374834.232,0,True,False
C,A,20200101,2020,52,2020,757,CHE,Switzerland,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,67977.0,False,8,False,67977.0,False,False,3235141524.582,3235141524.582,0,False,True
C,A,20200101,2020,52,2020,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,67977.0,False,8,False,67977.0,False,False,3235141524.582,3235141524.582,0,False,True
C,A,20200101,2020,52,2020,784,ARE,United Arab Emirates,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,138.65,False,8,False,138.65,False,False,7488569.983,7488569.983,0,True,False
C,A,20200101,2020,52,2020,757,CHE,Switzerland,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,63489.0,False,8,False,63489.0,False,False,2996392526.942,2996392526.942,0,False,True
C,A,20200101,2020,52,2020,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,63489.0,False,8,False,63489.0,False,False,2996392526.942,2996392526.942,0,False,True
C,A,20200101,2020,52,2020,757,CHE,Switzerland,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,3200,Road,8,kg,4488.0,False,8,False,4488.0,False,False,238748997.64,238748997.64,0,False,True
C,A,20200101,2020,52,2020,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,3200,Road,8,kg,4488.0,False,8,False,4488.0,False,False,238748997.64,238748997.64,0,False,True
C,A,20200101,2020,52,2020,757,CHE,Switzerland,FM,Foreign Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C01,Clearance for home use,0,0,TOTAL MOT,8,kg,67977.0,False,8,False,67977.0,False,False,3235141524.582,3235141524.582,0,False,True
C,A,20200101,2020,52,2020,757,CHE,Switzerland,M,Import,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C01,Clearance for home use,0,0,TOTAL MOT,8,kg,67977.0,False,8,False,67977.0,False,False,3235141524.582,3235141524.582,0,False,True
